Variable_Name,Data_Type,Stata_Format,Variable_Label
bene_race_hspnc_cnt,long,%12.0g,Bene_Race_Hspnc_Cnt
bene_race_natind_cnt,int,%8.0g,Bene_Race_NatInd_Cnt
bene_race_othr_cnt,long,%12.0g,Bene_Race_Othr_Cnt
bene_dual_cnt,long,%12.0g,Bene_Dual_Cnt
bene_ndual_cnt,long,%12.0g,Bene_Ndual_Cnt
bene_cc_bh_adhd_othcd_v1_pct,byte,%8.0g,Bene_CC_BH_ADHD_OthCD_V1_Pct
bene_cc_bh_alcohol_drug_v1_pct,byte,%8.0g,Bene_CC_BH_Alcohol_Drug_V1_Pct
bene_cc_bh_tobacco_v1_pct,byte,%8.0g,Bene_CC_BH_Tobacco_V1_Pct
bene_cc_bh_alz_nonalzdem_v2_pct,byte,%8.0g,Bene_CC_BH_Alz_NonAlzdem_V2_Pct
bene_cc_bh_anxiety_v1_pct,byte,%8.0g,Bene_CC_BH_Anxiety_V1_Pct
bene_cc_bh_bipolar_v1_pct,byte,%8.0g,Bene_CC_BH_Bipolar_V1_Pct
bene_cc_bh_mood_v2_pct,byte,%8.0g,Bene_CC_BH_Mood_V2_Pct
bene_cc_bh_pd_v1_pct,byte,%8.0g,Bene_CC_BH_PD_V1_Pct
bene_cc_bh_ptsd_v1_pct,byte,%8.0g,Bene_CC_BH_PTSD_V1_Pct
bene_cc_bh_schizo_othpsy_v1_pct,byte,%8.0g,Bene_CC_BH_Schizo_OthPsy_V1_Pct
bene_cc_ph_asthma_v2_pct,byte,%8.0g,Bene_CC_PH_Asthma_V2_Pct
bene_cc_ph_afib_v2_pct,byte,%8.0g,Bene_CC_PH_Afib_V2_Pct
bene_cc_ph_cancer6_v2_pct,byte,%8.0g,Bene_CC_PH_Cancer6_V2_Pct
bene_cc_ph_ckd_v2_pct,byte,%8.0g,Bene_CC_PH_CKD_V2_Pct
bene_cc_ph_copd_v2_pct,byte,%8.0g,Bene_CC_PH_COPD_V2_Pct
bene_cc_ph_hf_nonihd_v2_pct,byte,%8.0g,Bene_CC_PH_HF_NonIHD_V2_Pct
bene_cc_ph_hyperlipidemia_v2_pct,byte,%8.0g,Bene_CC_PH_Hyperlipidemia_V2_Pct
bene_cc_ph_hypertension_v2_pct,byte,%8.0g,Bene_CC_PH_Hypertension_V2_Pct
bene_cc_ph_ischemicheart_v2_pct,byte,%8.0g,Bene_CC_PH_IschemicHeart_V2_Pct
bene_cc_ph_osteoporosis_v2_pct,byte,%8.0g,Bene_CC_PH_Osteoporosis_V2_Pct
bene_cc_ph_parkinson_v2_pct,byte,%8.0g,Bene_CC_PH_Parkinson_V2_Pct
bene_cc_ph_arthritis_v2_pct,byte,%8.0g,Bene_CC_PH_Arthritis_V2_Pct
bene_cc_ph_stroke_tia_v2_pct,byte,%8.0g,Bene_CC_PH_Stroke_TIA_V2_Pct
bene_avg_risk_scre,float,%9.0g,Bene_Avg_Risk_Scre
year,int,%8.0g,
bene_cc_depr,float,%9.0g,
bene_cc_diab,float,%9.0g,
partd_clms_total,long,%8.0g,
partd_cst_total,float,%9.0g,
partd_clms_brand,long,%8.0g,
partd_clms_opioid_oxycodone,int,%8.0g,
partd_clms_opioid_hydrocodone,int,%8.0g,
partd_clms_opioid_fentanyl,int,%8.0g,
partd_clms_opioid_hydromorphone,int,%8.0g,
partd_clms_opioid_morphine,int,%8.0g,
partd_clms_opioid_methadone,int,%8.0g,
partd_clms_opioid_oxymorphone,int,%8.0g,
partd_clms_opioid_tramadol,int,%8.0g,
partd_clms_opioid_buprenorphine,int,%8.0g,
partd_clms_opioid_codeine,int,%8.0g,
partd_clms_hr_ketorolac,int,%8.0g,
partd_clms_hr_carisoprodol,int,%8.0g,
partd_clms_hr_alprazolam,int,%8.0g,
partd_clms_hr_diazepam,int,%8.0g,
partd_clms_high_cost,int,%8.0g,
partb_srvc_total,float,%9.0g,
partb_cst_total,float,%9.0g,
partb_rvu_work,float,%9.0g,
partb_rvu_fac_total,float,%9.0g,
partb_rvu_nonfac_total,float,%9.0g,
partb_srvc_img_72141,float,%8.0g,
partb_srvc_img_72148,float,%8.0g,
partb_srvc_img_70450,float,%8.0g,
partb_srvc_img_71250,float,%8.0g,
partb_srvc_img_74176,float,%8.0g,
partb_srvc_img_93306,float,%8.0g,
partb_srvc_hv_g0438,float,%8.0g,partb_srvc_hv_G0438
partb_srvc_hv_g0439,float,%8.0g,partb_srvc_hv_G0439
partb_srvc_hv_g0202,float,%8.0g,partb_srvc_hv_G0202
partb_srvc_hv_g0105,int,%8.0g,partb_srvc_hv_G0105
partb_srvc_hv_g0121,int,%8.0g,partb_srvc_hv_G0121
partb_srvc_lv_20610,int,%8.0g,
partb_srvc_lv_77080,float,%8.0g,
partb_srvc_lv_80305,float,%8.0g,
partb_srvc_lv_93000,float,%8.0g,
partb_srvc_em_99212,float,%8.0g,
partb_srvc_em_99213,float,%8.0g,
partb_srvc_em_99214,float,%8.0g,
partb_srvc_em_99215,float,%8.0g,
partb_srvc_rbcs_imaging,float,%8.0g,
partb_srvc_rbcs_procedures,byte,%8.0g,
partb_srvc_rbcs_tests,byte,%8.0g,
partb_srvc_rbcs_em,byte,%8.0g,
partd_generic_rate,float,%9.0g,
partd_high_cost_rate,float,%9.0g,
partd_clms_opioid_all,int,%9.0g,
partd_opioid_rate,float,%9.0g,
partb_srvc_low_value_all,float,%9.0g,
partb_low_value_rate,float,%9.0g,
partb_srvc_img_adv_all,float,%9.0g,
partb_imaging_adv_rate,float,%9.0g,
partd_clms_opioid_strong,int,%9.0g,
partd_opioid_strong_rate,float,%9.0g,
partb_srvc_em_total,float,%9.0g,
partb_srvc_em_high,float,%9.0g,
partb_em_upcode_rate,float,%9.0g,
partb_imaging_cond_rate,float,%9.0g,
grad_year,int,%10.0g,
all_secondary_specialties,str126,%126s,
group_pac_id,str10,%10s,
num_group_members,str4,%4s,
affil_zip,str9,%9s,
quality_participation,str1,%1s,
ehr_participation,str1,%1s,
heart_participation,str1,%1s,
is_male,byte,%9.0g,
is_female,byte,%9.0g,
grad_pre_1980,byte,%9.0g,
grad_1980s,byte,%9.0g,
grad_1990s,byte,%9.0g,
grad_2000s,byte,%9.0g,
grad_2010s,byte,%9.0g,
grad_2020s,byte,%9.0g,
ccn,str6,%9s,
fac_mean_generic_rate,float,%9.0g,(mean) partd_generic_rate
fac_mean_highcost_rate,float,%9.0g,(mean) partd_high_cost_rate
fac_mean_opioid_rate,float,%9.0g,(mean) partd_opioid_rate
fac_mean_opioid_strong_rate,float,%9.0g,(mean) partd_opioid_strong_rate
fac_mean_low_value_rate,float,%9.0g,(mean) partb_low_value_rate
fac_mean_img_adv_rate,float,%9.0g,(mean) partb_imaging_adv_rate
fac_mean_img_cond_rate,float,%9.0g,(mean) partb_imaging_cond_rate
fac_mean_em_upcode_rate,float,%9.0g,(mean) partb_em_upcode_rate
fac_avg_risk_score,float,%9.0g,(mean) bene_avg_risk_scre
fac_prop_male_docs,float,%9.0g,(mean) is_male
fac_prop_female_docs,float,%9.0g,(mean) is_female
fac_prop_grad_pre1980,float,%9.0g,(mean) grad_pre_1980
fac_prop_grad_1980s,float,%9.0g,(mean) grad_1980s
fac_prop_grad_1990s,float,%9.0g,(mean) grad_1990s
fac_prop_grad_2000s,float,%9.0g,(mean) grad_2000s
fac_prop_grad_2010s,float,%9.0g,(mean) grad_2010s
fac_prop_grad_2020s,float,%9.0g,(mean) grad_2020s
fac_tot_benes,long,%12.0g,(sum) tot_benes
fac_tot_srvcs,double,%9.0g,(sum) tot_srvcs
fac_tot_chrg,double,%9.0g,(sum) tot_sbmtd_chrg
fac_bene_feml,long,%12.0g,(sum) bene_feml_cnt
fac_bene_male,long,%12.0g,(sum) bene_male_cnt
fac_bene_black,long,%12.0g,(sum) bene_race_black_cnt
fac_bene_hspnc,long,%12.0g,(sum) bene_race_hspnc_cnt
fac_bene_dual,long,%12.0g,(sum) bene_dual_cnt
fac_cc_depression,long,%9.0g,(sum) bene_cc_depr
fac_cc_diabetes,long,%9.0g,(sum) bene_cc_diab
fac_doc_count,long,%8.0g,(sum) partd_clms_total
fac_partd_clms_total,long,%8.0g,(sum) partd_clms_total
fac_partd_clms_opioid_all,long,%9.0g,(sum) partd_clms_opioid_all
fac_partb_srvc_total,double,%9.0g,(sum) partb_srvc_total
fac_partb_srvc_rbcs_imaging,double,%8.0g,(sum) partb_srvc_rbcs_imaging
fac_partb_srvc_em_total,double,%9.0g,(sum) partb_srvc_em_total
fac_total_work_rvu,double,%9.0g,(sum) partb_rvu_work
fac_total_fac_rvu,double,%9.0g,(sum) partb_rvu_fac_total
fac_total_nonfac_rvu,double,%9.0g,(sum) partb_rvu_nonfac_total
fac_wgt_generic_rate,float,%9.0g,
fac_wgt_highcost_rate,float,%9.0g,
fac_wgt_opioid_rate,float,%9.0g,
fac_wgt_opioid_strong_rate,float,%9.0g,
fac_wgt_low_value_rate,float,%9.0g,
fac_wgt_img_adv_rate,float,%9.0g,
fac_wgt_img_cond_rate,float,%9.0g,
fac_wgt_em_upcode_rate,float,%9.0g,
h_clean_hosp_a_p,byte,%8.0g,
h_clean_hosp_sn_p,byte,%8.0g,
h_clean_hosp_u_p,byte,%8.0g,
h_comp_1_a_p,float,%9.0g,
h_comp_1_sn_p,float,%9.0g,
h_comp_1_u_p,float,%9.0g,
h_comp_2_a_p,float,%9.0g,
h_comp_2_sn_p,float,%9.0g,
h_comp_2_u_p,float,%9.0g,
h_comp_3_a_p,float,%9.0g,
h_comp_3_sn_p,float,%9.0g,
h_comp_3_u_p,float,%9.0g,
h_comp_4_a_p,byte,%8.0g,
h_comp_4_sn_p,byte,%8.0g,
h_comp_4_u_p,byte,%8.0g,
h_hosp_rating_7_8,byte,%8.0g,
h_hosp_rating_9_10,byte,%8.0g,
h_quiet_hosp_a_p,byte,%8.0g,
h_quiet_hosp_sn_p,byte,%8.0g,
h_quiet_hosp_u_p,byte,%8.0g,
h_recmnd_dn,byte,%8.0g,
h_recmnd_dy,byte,%8.0g,
h_recmnd_py,byte,%8.0g,
h_hosp_rating_0_6,byte,%8.0g,
h_comp_6_n_p,byte,%8.0g,
h_comp_6_y_p,byte,%8.0g,
hcahps_grp1,float,%9.0g,
hcahps_grp2,float,%9.0g,
hcahps_grp3,float,%9.0g,
hcahps_grp4,float,%9.0g,
hcahps_100_score,float,%9.0g,
hosp_name,str84,%84s,
zip_code,str5,%9s,
mortality_rate_ami,float,%9.0g,30-Day Mortality Rate (AMI)
mortality_rate_hf,float,%9.0g,30-Day Mortality Rate (HF)
mortality_rate_pn,float,%9.0g,30-Day Mortality Rate (PN)
rrp_excess_ratio_ami,float,%9.0g,Readmission: Excess Ratio (AMI)
rrp_excess_ratio_hf,float,%9.0g,Readmission: Excess Ratio (HF)
rrp_excess_ratio_pn,float,%9.0g,Readmission: Excess Ratio (PN)
zipcode,str10,%10s,
amiconditionprocedure_score,byte,%8.0g,HVBP: AMI Condition Total Score
haiconditionprocedure_score,byte,%8.0g,HVBP: HAI Condition Total Score
hcahpsbase_score,byte,%8.0g,
hcahpsconsistency_score,byte,%8.0g,
hfconditionprocedure_score,byte,%8.0g,HVBP: HF Condition Total Score
pnconditionprocedure_score,byte,%8.0g,HVBP: PN Condition Total Score
scipconditionprocedure_score,byte,%8.0g,
totalperformance_score,float,%9.0g,HVBP: Total Performance Score
unweightednormalizedclinicalproc,float,%9.0g,unweightednormalizedclinicalprocessofcaredomain_score
unweightedpatientexperienceofcar,byte,%8.0g,unweightedpatientexperienceofcaredomain_score
weightedclinicalprocessofcaredom,float,%9.0g,weightedclinicalprocessofcaredomain_score
weightedpatientexperienceofcared,float,%9.0g,weightedpatientexperienceofcaredomain_score
hac_total_score,float,%9.0g,Hospital-Acquired Condition (HAC) Score
mspb_score,float,%9.0g,Medicare Spending Per Beneficiary (MSPB) Score
unweightednormalizedefficiencydo,byte,%8.0g,unweightednormalizedefficiencydomain_score
unweightednormalizedoutcomedomai,float,%9.0g,unweightednormalizedoutcomedomain_score
weightedefficiencydomain_score,float,%9.0g,
weightedoutcomedomain_score,float,%9.0g,
paym_30_ami,str46,%46s,Payment Category: 30-Day AMI Episode
paym_30_hf,str46,%46s,Payment Category: 30-Day Heart Failure Episode
paym_30_pn,str46,%46s,Payment Category: 30-Day Pneumonia Episode
preventiveconditionprocedure_sco,byte,%8.0g,preventiveconditionprocedure_score
paym_90_hip_knee,str46,%46s,PAYM_90_HIP_KNEE
imm2preventiveconditionprocedure,byte,%8.0g,imm2preventiveconditionprocedure_score
pc01preventiveconditionprocedure,byte,%8.0g,pc01preventiveconditionprocedure_score
unweightednormalizedclinicalcare,float,%8.0g,unweightednormalizedclinicalcareoutcomesdomain_score
v38,float,%8.0g,unweightednormalizedclinicalcareprocessdomain_score
unweightednormalizedefficiencyan,byte,%8.0g,unweightednormalizedefficiencyandcostreductiondomain_score
unweightednormalizedsafetydomain,float,%9.0g,unweightednormalizedsafetydomain_score
unweightedpatientandcaregivercen,byte,%8.0g,unweightedpatientandcaregivercenteredexperienceofcarecarecoordinationdomain_scor
weightedclinicalcareprocessdomai,float,%8.0g,weightedclinicalcareprocessdomain_score
weightedefficiencyandcostreducti,float,%9.0g,weightedefficiencyandcostreductiondomain_score
weightednormalizedclinicalcareou,float,%8.0g,weightednormalizedclinicalcareoutcomesdomain_score
weightedpatientandcaregivercente,float,%9.0g,weightedpatientandcaregivercenteredexperienceofcarecarecoordinationdomain_score
weightedsafetydomain_score,float,%9.0g,
v47,float,%9.0g,unweightednormalizedclinicalcaredomain_score
weightednormalizedclinicalcaredo,float,%9.0g,weightednormalizedclinicalcaredomain_score
unweightedpersonandcommunityenga,byte,%8.0g,unweightedpersonandcommunityengagementdomain_score
weightedpersonandcommunityengage,float,%9.0g,weightedpersonandcommunityengagementdomain_score
unweightednormalizedclinicaloutc,float,%9.0g,unweightednormalizedclinicaloutcomesdomain_score
weightednormalizedclinicaloutcom,float,%9.0g,weightednormalizedclinicaloutcomesdomain_score
comphipkneemeasure_score,byte,%8.0g,
caretransitiondimension_score,byte,%8.0g,
cleanlinessandquietnessofhospita,byte,%8.0g,cleanlinessandquietnessofhospitalenvironmentdimension_score
communicationaboutmedicinesdimen,byte,%8.0g,communicationaboutmedicinesdimension_score
communicationwithdoctorsdimensio,byte,%8.0g,communicationwithdoctorsdimension_score
communicationwithnursesdimension,byte,%8.0g,communicationwithnursesdimension_score
dischargeinformationdimension_sc,byte,%8.0g,dischargeinformationdimension_score
overallratingofhospitaldimension,byte,%8.0g,overallratingofhospitaldimension_score
responsivenessofhospitalstaffdim,byte,%8.0g,responsivenessofhospitalstaffdimension_score
oas_rating_9_10,byte,%8.0g,HOPD OAS CAHPS: Rating 9 or 10 (%)
oas_recmnd_dy,byte,%8.0g,HOPD OAS CAHPS: Definitely Recommend (%)
op_22,byte,%8.0g,HOPD (OP-22): Patient Left ED Without Being Seen (%)
op_26,long,%12.0g,HOPD (OP-26): Total Outpatient Surgical Procedure Volume
op_8,float,%9.0g,HOPD (OP-8): MRI Lumbar Spine for Low Back Pain (Overuse)
oas_rating_linear,byte,%8.0g,HOPD OAS CAHPS: Linear Mean Rating
oas_recmnd_linear,byte,%8.0g,HOPD OAS CAHPS: Linear Mean Recommend
op_40,byte,%8.0g,HOPD (OP-40): STEMI Clinical Quality Measure
mips_final_score,double,%10.0g,(max) mips_final_score
mips_quality_score,double,%10.0g,(max) mips_quality_score
mips_pi_score,double,%10.0g,(max) mips_pi_score
mips_ia_score,double,%10.0g,(max) mips_ia_score
mips_cost_score,double,%10.0g,(max) mips_cost_score
mips_merge_status_inp,byte,%26.0g,Matching result from merge
fac_mips_final_score,double,%10.0g,(mean) mips_final_score
fac_mips_quality_score,double,%10.0g,(mean) mips_quality_score
fac_mips_ia_score,double,%10.0g,(mean) mips_ia_score
fac_mips_pi_score,double,%10.0g,(mean) mips_pi_score
fac_mips_cost_score,double,%10.0g,(mean) mips_cost_score
provider_markup_ratio,float,%9.0g,
provider_markup_diff,float,%9.0g,
fac_markup_ratio,float,%9.0g,
fac_markup_diff,float,%9.0g,
hsanum,long,%12.0g,
hrrnum,int,%8.0g,
cms_specialty,int,%55.0g,Rndrng_Prvdr_Type
affil_primary_spec,byte,%55.0g,
credential,byte,%8.0g,
cms_state,byte,%8.0g,Rndrng_Prvdr_State_Abrvtn
state,byte,%8.0g,
affil_state,byte,%8.0g,
entity_type,byte,%8.0g,Rndrng_Prvdr_Ent_Cd
gender,byte,%8.0g,
hosp_type,byte,%36.0g,
ownership,byte,%43.0g,
emergency_services,byte,%8.0g,
accepts_assignment,byte,%8.0g,
county,int,%21.0g,
secondary_specialty_1,byte,%55.0g,
secondary_specialty_2,byte,%55.0g,
secondary_specialty_3,byte,%55.0g,
secondary_specialty_4,byte,%36.0g,
